HTS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
8518.22.0000,Speakers,,,,,,
8518.21.0000,Speakers,,,,,,
8473.30.5100,Iport,,,,,,
8518.40.2000     ,Amps,,,,,,
,,,,,,,
HTS,SKU Code,Desc,COGS (with 301 tariffs),ASP,301 Tariff,MSRP,
8518.22.0000,96012,VX62R,61.12,212.49,0.075,550,pair
8518.22.0000,93478,IS6,153.71,570.44,0.075,1515,pair
8518.21.0000,45131,PS-C63RT WHITE EA,64.0974,137.26,0.075,235,each
8473.30.5100,72329,CONNECT PRO MINI CASE,52.34,196.16,0.25,300,each
8473.30.5100,72494,C-PRO UTILITY CASE 11PRO M4 GN,78.47,215,0.25,250,each
8473.30.5100,72496,CONNECT MOUNT Case iPad A16 BK,39.6647,78.26,0.25,125,each
8518.40.2000,93550,UA 2-125 DSP AMPLIFIER,172.21,484,0.25,1100,each
8518.40.2000,93538,DSP 8-130 MKIII,632.14,1709.88,0.25,3740,each
,,,,,,,
,,,,,,,
,,,,,,,
,,COGS 2025 (WITH 301 TARIFFS),Revenue 2025,% China,% Thailand,% Vietnam,% Cambodia
8518.22.0000,Speakers,14938000,46027000,0.85,,0.15,
8518.21.0000,Speakers,,,,,,
8473.30.5100,Iport,6228000,15279000,0.8,,,0.2
8518.40.2000     ,Amps,3171000,7487000,0.15,0.85,,
,,,,,,,
Figures are pre-price increase YTD through May and are standard COGS only (and excludes PPTV),,,,,,,
"Speakers exclude Ellura, Sonos and Exclusives",,,,,,,
Country allocation is our approximated and mid term,,,,,,,
Iport HTS code only for Connect Cases but COGS and Revenue for all Iport,,,,,,,
